wavelength (nm);5_8_2023_1;5_8_2023_2;22_05_2023_1;22_05_2023_2;22_05_2023_3
294.5;51.63200;46.64400;14.60700;30.43300;59.71200
295;51.43900;46.49100;14.59200;30.25000;59.39000
295.5;51.10700;46.22300;14.49900;30.08700;58.99500
296;50.78700;46.00400;14.44700;29.89500;58.61300
296.5;50.62100;45.81300;14.34600;29.70300;58.33600
297;50.34900;45.59000;14.22100;29.60400;58.10900
297.5;50.14100;45.37000;14.18400;29.46500;57.92200
298;50.11900;45.31800;14.09200;29.39400;57.79300
298.5;50.22100;45.30800;14.04000;29.39000;57.78600
299;50.35100;45.37700;14.00200;29.36400;57.79700
299.5;50.41500;45.30000;13.92400;29.33500;57.76600
300;50.36800;45.21300;13.85400;29.23700;57.51300
300.5;50.07800;44.86200;13.73600;29.10100;57.20500
301;49.87500;44.64400;13.68100;28.95900;56.94400
301.5;49.85800;44.44000;13.62600;28.91700;56.78900
302;49.79100;44.35200;13.57900;28.93300;56.63900
302.5;49.64100;44.24100;13.56900;28.91300;56.58500
303;49.54300;44.14400;13.51800;28.87800;56.45300
303.5;49.49300;44.05500;13.54400;28.80100;56.37500
304;49.36600;43.93400;13.50100;28.72900;56.30700
304.5;49.22900;43.69800;13.49200;28.68300;56.16700
305;49.00100;43.58200;13.49300;28.58000;56.01500
305.5;48.82500;43.35500;13.43400;28.54200;55.97300
306;48.76000;43.36400;13.40600;28.52800;55.97500
306.5;48.81700;43.38700;13.39400;28.60100;55.95800
307;48.85300;43.51200;13.39400;28.58400;55.82100
307.5;48.79400;43.57100;13.39000;28.57400;55.80700
308;48.68400;43.55000;13.39300;28.58100;55.78500
308.5;48.68000;43.63200;13.41800;28.56200;55.76700
309;48.78000;43.70200;13.43300;28.57700;55.83900
309.5;48.81400;43.68000;13.52000;28.56800;55.85400
310;48.77400;43.68200;13.62300;28.55400;55.87400
310.5;48.85200;43.64700;13.62900;28.62500;56.02700
311;48.84700;43.71700;13.57800;28.70900;56.26000
311.5;48.92200;43.80700;13.65300;28.76800;56.32300
312;49.11100;43.96800;13.68300;28.79800;56.39800
312.5;49.21200;43.98100;13.66600;28.89100;56.53600
313;49.26500;43.99700;13.65700;28.98100;56.63700
313.5;49.37600;44.09500;13.67200;29.08200;56.73900
314;49.53200;44.10400;13.70200;29.13000;56.83600
314.5;49.51800;44.12600;13.72600;29.23400;56.97400
315;49.54700;44.23700;13.79300;29.32000;57.12300
315.5;49.62200;44.39700;13.79600;29.42400;57.32600
316;49.61200;44.56200;13.84800;29.49700;57.49100
316.5;49.76700;44.86200;13.91500;29.57800;57.63000
317;50.04600;45.10000;13.91800;29.65200;57.78000
317.5;50.25600;45.22900;13.93600;29.72300;57.86800
318;50.38900;45.30800;14.01800;29.68100;57.80700
318.5;50.38700;45.31400;14.03700;29.68200;57.76000
319;50.42700;45.26000;14.04200;29.70600;57.75900
319.5;50.36000;45.16900;14.05600;29.75300;57.92200
320;50.33700;45.15300;14.11400;29.74600;57.94500
320.5;50.35900;45.20700;14.07200;29.81200;58.00700
321;50.36400;45.26900;14.07800;29.83400;57.95100
321.5;50.33500;45.39800;14.00900;29.86500;58.06700
322;50.33000;45.41500;14.04900;29.79100;58.04800
322.5;50.29000;45.38100;14.06900;29.77800;58.03900
323;50.14100;45.34300;14.08000;29.70500;57.90800
323.5;49.94500;45.20900;14.01600;29.75500;57.95200
324;49.89900;45.05000;14.09500;29.77000;58.09500
324.5;49.95800;44.99400;14.20500;29.72200;58.25300
325;49.95100;44.97200;14.26900;29.70200;58.23000
325.5;50.04500;45.03400;14.20800;29.79500;58.27700
326;50.07900;45.17600;14.27600;29.77100;58.14200
326.5;50.17300;45.18800;14.32500;29.70600;58.07200
327;50.21000;45.25200;14.30100;29.55300;57.89500
327.5;50.27700;45.29900;14.17900;29.50400;57.71400
328;50.36800;45.32900;14.05800;29.38400;57.47500
328.5;50.32600;45.17500;13.94900;29.32500;57.28600
329;50.28500;45.10100;13.96200;29.28600;57.15900
329.5;50.20800;45.04200;13.90900;29.19900;57.02100
330;49.97100;44.84500;13.83400;29.14000;56.84400
330.5;49.75500;44.67700;13.70200;29.12700;56.65000
331;49.51400;44.44500;13.70600;28.99600;56.45700
331.5;49.32000;44.08200;13.69800;28.91900;56.27900
332;49.07000;43.88100;13.58400;28.80800;56.23900
332.5;48.92700;43.67300;13.53500;28.73400;56.13300
333;48.94500;43.60100;13.54300;28.58800;56.02500
333.5;48.84700;43.50800;13.53600;28.46600;55.85700
334;48.72900;43.52700;13.53000;28.43600;55.74500
334.5;48.47600;43.34200;13.41500;28.34900;55.55200
335;48.08500;43.04900;13.40200;28.26800;55.23100
335.5;47.74600;42.69900;13.29100;28.12300;54.87600
336;47.39800;42.30800;13.25900;27.94200;54.58200
336.5;47.05300;41.92500;13.20800;27.72500;54.20200
337;46.82300;41.58000;13.13300;27.52400;53.90700
337.5;46.65500;41.30200;13.13100;27.29700;53.46400
338;46.58000;41.08400;13.07800;27.02500;53.04900
338.5;46.44200;40.87100;12.97200;26.74700;52.61800
339;46.23400;40.74200;12.81100;26.48500;52.09400
339.5;45.88000;40.36700;12.62800;26.27700;51.58400
